Thorfare_ID,street_name,road_start,road_finish,new_area_code,Impact No,year_built,yr_last_repaired,in_charge,Irish
161631,ALL SAINTS ROAD,HOWTH RD.,WATERMILL ROAD,3,,,1983,Y ,Bóthar na Naomh
130738,ALLINGHAM STREET,SUMMER ST. STH.,,4,,,1940,Y ,Sráid Mhic Giolla Finnéin
332516,ALMA TERRACE,MOUNT PLEASANT AVE.,MOUNT PLEASANT BUILDINGS,5,,,1940,Y ,Ardán Alma  
203035,ALMEIDA AVENUE,ALMEIDA TCE.,BROOKFIELD STREET,4,,,1986,Y ,Ascaill Alméide
27090597,ALONE WALK,BROOKWOOD AVENUE,,3,,0,,N,
27090597,ALONE WALK,BROOKWOOD AVENUE,,3,,0,,Y,
122543,AMIENS STREET,SEVILLE PLACE,STORE STREET,1,5,,1962,Y ,Sráid Amiens
122832,ANGLESEA ROAD,DONNYBROOK RD.,MERRION ROAD,5,3,,1987,Y ,Bóthar Mhóna.  
129245,ANGLESEA ROW,LITTLE BRITTAIN ST.,LITTLE MARY STREET,1,,,1940,Y ,Rae Mhóna.  
40412,ANGLESEA STREET,FLEET ST.,COLLEGE GREEN,5,,,1974,Y ,Sráid Mhóna.
332479,ANNA VILLA,RANELAGH,BEECHWOOD ROAD,5,,,1971,Y ,Annabile.
173239,ANNADALE AVENUE,PHILIPSBURGH AVE,FOYLE ROAD,3,,,1970,Y ,Ascal Annadal. 
173246,ANNADALE CRESCENT,ANNADALE DRIVE,,3,,,1940,Y ,Corrán Annadal.
173245,ANNADALE DRIVE,PHILIPSBURGH AVE.,GRACE PARK TERRACE,3,,,1940,Y ,Céide Annadal. 
173245,ANNADALE DRIVE,PHILIPSBURGH AVE.,GRACE PARK TERRACE,3,,,1940,Y ,Céide Annadal. 
227813,ANNALY ROAD,DOWTH AVE.,QUARRY ROAD,1,,,1940,Y ,Bóthar Annaile.
227813,ANNALY ROAD,DOWTH AVE.,QUARRY ROAD,1,,,1940,Y ,Bóthar Annaile.
228038,ANNAMOE DRIVE,ANNAMOE TERRACE,,1,,,1940,Y ,Céide Áth Na Mbó 
30262,ANNAMOE PARADE,NTH. CIRCULAR RD.,CHARLEVILLE ROAD,1,,,0,Y ,Paráid Áth Na Mbó
227710,ANNAMOE PARK,ANNAMOE DRIVE,,1,,,1940,Y ,Páirc Áth Na Mbó 
225469,ANNAMOE ROAD,NEW CABRA RD.,NORTH CIRCULAR ROAD,1,,,1968,Y ,Bóthar Áth Na Mbó
225468,ANNAMOE TERRACE,ANNAMOE ROAD,NEW CABRA ROAD,1,,,1940,Y ,Ardán Áth Na Mbó 
225468,ANNAMOE TERRACE,ANNAMOE RD.,NEW CABRA ROAD,1,,,1940,Y ,Ardán Áth Na Mbó 
172887,ANNE STREET NORTH,CUCKOO LANE,NORTH KING STREET,1,,,1940,Y ,
47667,ANNE STREET SOUTH,GRAFTON STREET,DAWSON STREET,5,,,1940,Y ,
194399,ANNER ROAD,GOLDENBRIDGE AVENUE,BULFIN ROAD,4,,,1983,Y ,Bóthar Andobhar
40262,ANNE'S LANE,ANNE STREET SOUTH,,5,,,1940,Y ,
174564,ANNESLEY AVENUE,TAFFES PLACE,SPRING GARDEN STREET,1,,,1964,Y ,Ascaill Ainisle
174555,ANNESLEY BRIDGE ROAD,EAST WALL ROAD,FAIRVIEW STRAND,3,4,,1940,Y ,Bóthar Dhroichead Ainisle
30697,ANNESLEY CLOSE,ANNESLEY AVENUE,,1,,2004,2004,N,Clós Ainisle
334178,ANNESLEY PARK,ORMOND ROAD SOUTH,DUNVILLE AVENUE,5,,,1964,Y ,Páirc Ainisle  
162527,ANNESLEY PLACE,POPLAR ROW,NORTH STRAND ROAD,1,,,1967,Y ,Páirc Ainisle  
283999,APOLLO WAY,TRANQUILITY GROVE,,3,,,1941,Y ,
47173,APPIAN WAY,LEESON STREET UPPER,LEESON PARK,5,2,,1940,Y ,
174817,ARBOUR HILL,MONTPELIER HILL,STONEYBATTER,1,,,1975,Y ,Cnoc an Earbair
174819,ARBOUR PLACE,STONEYBATTER,ARBOUR HILL,1,,,1940,Y ,Plás Earbair
186340,ARBOUR TERRACE,ARBOUR HILL,,1,,,1940,Y ,Ardán Earbair  
124140,ARBUTUS AVENUE,PARNELL ROAD,,4,,,1969,Y ,Ascaill na Caithne  
190455,ARBUTUS PLACE,LOMBARD STREET WEST,,5,,,1960,Y ,Plás na Caithne
284125,ARD NA MEALA,BALCURRIS ROAD,,2,,,0,N ,
180578,ARD RI PLACE,ARDRIGH ROAD,,1,,,1961,Y ,
180579,ARD RI ROAD,MOUNT TEMPLE ROAD,ARBOUR HILL,1,,,1970,Y ,
186459,ARDAGH ROAD,CRUMLIN ROAD,,4,,,1940,Y ,Bóthar Árdachadh.
198932,ARDARA AVENUE,GRANGE ROAD,,3,,,0,Y ,Ascaill Ard an Rátha
252261,ARDBEG CRESCENT,ARDBEG DRIVE,,3,,,1940,Y ,Corrán Ard Beag
252260,ARDBEG DRIVE,ARDBEG PLACE,,3,,,1940,Y ,Céide Ard Beag 
252259,ARDBEG PARK,OFF ARDBEG DRIVE,,3,,,1940,Y ,Páirc Ard Beag 
233638,ARDBEG ROAD,ARDLEA ROAD,ARDBEG PARK,3,,,1940,Y ,Bóthar Ard Beag
253464,ARDCOLLUM AVENUE,ARDLEA ROAD,MARYFIELD CRESCENT,3,,,1940,Y ,Ascaill Ard Colm 
125270,ARDEE ROAD,WILLIAMS PARK,MILITARY ROAD,5,,,1963,Y ,Bóthar áth Fhirdia  
130727,ARDEE STREET,THE COOMBE,MILL STREET,4,4,,1973,Y ,Sráid áth Fhirdia
130727,ARDEE STREET,THE COOMBE,MILL STREET,4,4,,1974,Y ,Sráid áth Fhirdia
230709,ARDILAUN ROAD,SACKVILLE AVENUE,,1,,,1970,Y ,Bóthar Ardoileán 
230709,ARDILAUN ROAD,SACKVILLE AVENUE,,1,,,1940,Y ,Bóthar Ardoileán 
233625,ARDLEA ROAD,ROUNDABOUT ON MALAHIDE ROAD,KILMORE ROAD,3,2,,1940,Y ,Bóthar Ard Liath 
224874,ARDMORE AVENUE,ELLESMERE AVENUE,,3,,,1961,Y ,Ascaill Ard Mór
268926,ARDMORE CLOSE,ARDMORE DRIVE,,3,,,1940,Y ,Clós Ard Mór
268068,ARDMORE CRESCENT,ARDMORE DRIVE,,3,,,1940,Y ,
268066,ARDMORE DRIVE,KILMORE ROAD,,3,,,1940,Y ,Céide Ard Mór  
268925,ARDMORE GROVE,ARDMORE DRIVE,,3,,,1940,Y ,Garrán Ard Mór 
268067,ARDMORE PARK,ARDMORE DRIVE,,3,,,1940,Y ,
220022,ARDPATRICK ROAD,SKREEN ROAD,SKREEN ROAD,1,,,1940,Y ,
125391,ARGYLE ROAD,HERBERT PARK,BRENDAN ROAD,5,,,1970,Y ,Bóthar Earragháidheal  
180550,ARKLOW STREET,ASHFORD STREET,COWPER STREET,1,,,1972,Y ,Sráid Inbhear Mór
379782,ARMAGH ROAD,CAPTAINS ROAD,CLONARD ROAD,4,2,,1941,Y ,Bóthar Ard Mhacha
379782,ARMAGH ROAD,CAPTAINS ROAD,CLONARD ROAD,4,2,,1976,Y ,Bóthar Ard Mhacha
125284,ARMSTRONG STREET,HAROLDS X COTTAGES,HAROLDS X ROAD,5,,,1940,Y ,Sráid Thréanlámhaigh
284001,ARMSTRONG WALK,TRANQUILITY GROVE,OSCAR TRAYNOR ROAD,3,,,1941,Y ,Cosán Treanlamhach  
40109,ARNOTT STREET,HEYSTEBURY STREET,CURZON STREET,5,,,1974,Y ,Sráid Arnóid
124299,ARRAN QUAY,QUEEN STREET,CHURCH STREET BRIDGE,1,5,,1940,Y ,Cé Árann 
123111,ARRAN QUAY TERRACE,SMITHFIELD,QUEEN ST.,1,,0,,Y,
215291,ARRAN ROAD,HOMEFARM ROAD,,1,,,1965,Y ,Bóthar Árann
47181,ARRAN STREET EAST,MARYS LANE,ORMOND QUAY,1,,,1961,Y ,
539623,ARRAN STREET WEST,ARRAN QUAY,ARRAN QUAY TERRACE,1,,,1940,Y ,
235239,ARRANMORE AVENUE,NORTH CIRCULAR ROAD,,1,,,1970,Y ,Ascaill Árainn Mhór 
125381,ARRANMORE ROAD,HERBERT PARK,BRENDAN ROAD,5,,,1971,Y ,Bóthar Árainn Mhór  
30722,ARTANE CASTLE SERVICE ROAD,KILMORE ROAD,,3,,,1984,Y ,
40410,ASDILL'S ROW,TEMPLE BAR,WELLINGTON QUAY,5,,,1987,Y ,
127331,ASH STREET,GARDEN LANE,PARK TERRACE,4,,,1984,Y ,Sráid Ais
548583,ASHBROOK,ASHTOWN ROAD,,1,,1990,1990,Y ,Sruthán na Fuinnseóige 
173286,ASHBROOK,HOWTH ROAD,,3,,,1984,N ,
179444,ASHCROFT,STATION ROAD RAHENY,,3,,1991,1991,Y ,Croit na Fuinseoige 
335227,ASHDALE AVENUE,ASHDALE ROAD,,4,,,1972,Y ,Ascaill Cúr na Fuinnseóige  
